category_truth,text
Shopping & Retail,DEBIT CARD PURCHASE BEST BUY
Groceries,PIN PURCHASE H MART 800-555-0171
Shopping & Retail,POS PURCHASE NORDSTROM PHOENIX AZ
Groceries,POS PURCHASE ALDI #8886 CHICAGO IL 800-555-0133
Shopping & Retail,POS PURCHASE HOME DEPOT PHOENIX AZ
Subscriptions & Entertainment,AUTOPAY PELOTON MEMBERSHIP #9548 ATLANTA GA
Utilities & Bills,ACH DEBIT GEICO AUTO INS #9691 MIAMI FL
Health & Wellness,WALGREENS #3361 DENVER CO
Shopping & Retail,DEBIT CARD PURCHASE HOME DEPOT #6193 PORTLAND OR
Transportation,CHEVRON SEATTLE WA
Transportation,POS PURCHASE EZPASS TOLL DENVER CO
Transportation,RECURRING PYMT ZIPCAR #539 COLUMBUS OH
Utilities & Bills,RECURRING PYMT PG&E ONLINE PYMT #7894 CHICAGO IL
Shopping & Retail,DEBIT CARD PURCHASE OLD NAVY CHICAGO IL
Health & Wellness,ASPEN DENTAL DENVER CO 3375455451
Utilities & Bills,RECURRING PYMT CON EDISON BOSTON MA
Transportation,POS PURCHASE CHEVRON #1659
Subscriptions & Entertainment,AUTOPAY PLANET FITNESS PORTLAND OR
Shopping & Retail,ETSY.COM DENVER CO 800-555-0124
Utilities & Bills,ACH DEBIT CITY WATER DEPT #5045 MIAMI FL
Health & Wellness,LENSCRAFTERS ATLANTA GA
Shopping & Retail,NORDSTROM #2156 DENVER CO
Subscriptions & Entertainment,APPLE.COM/BILL COLUMBUS OH 0W83XQ
Shopping & Retail,ETSY.COM CHICAGO IL 2176941606
Dining & Coffee,SWEETGREEN #1318 PORTLAND OR
Shopping & Retail,HOME DEPOT J2KCP9
Shopping & Retail,WALMART SUPERCENTER DENVER CO 29513462
Utilities & Bills,ACH DEBIT VERIZON WIRELESS #1775 MIAMI FL 800-555-0149
Transportation,RECURRING PYMT CHEVRON #6337 MIAMI FL
Health & Wellness,CARD PAYMENT RITE AID PHARMACY PHOENIX AZ
Groceries,PIN PURCHASE ALDI #7006 ATLANTA GA 4R1B8H
Groceries,TRADER JOE S PHOENIX AZ 42679636
Transportation,POS PURCHASE CITY PARKING AUTH CHICAGO IL 16068472
Dining & Coffee,SQ *BLUE BOTTLE COFFEE DENVER CO
Dining & Coffee,TST* SWEETGREEN ATLANTA GA
Transportation,UBER TRIP COLUMBUS OH 800-555-0132
Utilities & Bills,ONLINE PAYMENT CITY WATER DEPT MIAMI FL 6617694699
Shopping & Retail,ETSY.COM BOSTON MA 21195155
Dining & Coffee,TST* STARBUCKS MIAMI FL
Groceries,PIN PURCHASE PUBLIX #1239 COLUMBUS OH 67988348
Shopping & Retail,POS PURCHASE NORDSTROM COLUMBUS OH 17997408
Health & Wellness,CARD PAYMENT KAISER PERMANENTE COPAY 800-555-0146
Health & Wellness,GNC #1661 COLUMBUS OH
Shopping & Retail,DEBIT CARD PURCHASE OLD NAVY #508 MIAMI FL
Health & Wellness,CARD PAYMENT QUEST DIAGNOSTICS #6538 ATLANTA GA
Shopping & Retail,WEB PMT TARGET MIAMI FL 800-555-0153
Groceries,WEGMANS
Groceries,SAFEWAY #9769 SEATTLE WA
Utilities & Bills,ACH DEBIT CON EDISON #5636 DENVER CO
Dining & Coffee,CHIPOTLE ONLINE SEATTLE WA
Dining & Coffee,DOORDASH* #9160 PHOENIX AZ
Subscriptions & Entertainment,PELOTON MEMBERSHIP COLUMBUS OH 87892644
Groceries,PIN PURCHASE H MART BOSTON MA
Groceries,DEBIT CARD PURCHASE ALDI #4332 PHOENIX AZ KW5UTG
Shopping & Retail,DEBIT CARD PURCHASE BEST BUY #7479 800-555-0132
Utilities & Bills,ONLINE PAYMENT PG&E ONLINE PYMT #1137 COLUMBUS OH 800-555-0197
Transportation,POS PURCHASE UBER TRIP #9933 AUSTIN TX 800-555-0113
Shopping & Retail,DEBIT CARD PURCHASE TARGET PHOENIX AZ Q16HDH
Utilities & Bills,RECURRING PYMT T-MOBILE DENVER CO
Transportation,ZIPCAR #1785 BOSTON MA
Utilities & Bills,ACH DEBIT PG&E ONLINE PYMT MIAMI FL 3409940422
Dining & Coffee,POS PURCHASE MCDONALD S AUSTIN TX
Utilities & Bills,AUTOPAY NATIONAL GRID PORTLAND OR
Groceries,PIN PURCHASE SPROUTS FARMERS MKT AUSTIN TX
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS #9339 AUSTIN TX 800-555-0122
Shopping & Retail,ETSY.COM DENVER CO 9016490711
Dining & Coffee,DOORDASH* PHOENIX AZ 800-555-0142
Shopping & Retail,POS PURCHASE OLD NAVY
Groceries,PUBLIX #753 PHOENIX AZ
Subscriptions & Entertainment,RECURRING PYMT AMC THEATRES #3729 BOSTON MA 800-555-0156
Groceries,POS PURCHASE KROGER SEATTLE WA
Shopping & Retail,POS PURCHASE NORDSTROM
Transportation,RECURRING PYMT EZPASS TOLL ATLANTA GA
Health & Wellness,POS PURCHASE WALGREENS #1933 DENVER CO
Subscriptions & Entertainment,AUTOPAY DISNEY PLUS #2962 PHOENIX AZ 83641880
Shopping & Retail,ETSY.COM #9560 MIAMI FL
Groceries,H MART #3730 SEATTLE WA
Shopping & Retail,HOME DEPOT BOSTON MA
Shopping & Retail,WALMART SUPERCENTER #9048 BOSTON MA
Health & Wellness,POS PURCHASE LENSCRAFTERS #3038 MIAMI FL
Subscriptions & Entertainment,WEB PMT NYTIMES SUBSCRIPTION SEATTLE WA
Utilities & Bills,ACH DEBIT T-MOBILE #2484 DENVER CO 78444989
Groceries,PIN PURCHASE KROGER AUSTIN TX 800-555-0178
Groceries,PIN PURCHASE H MART DENVER CO 7S3PCX
Utilities & Bills,AUTOPAY CON EDISON #5927 AUSTIN TX
Shopping & Retail,ETSY.COM AUSTIN TX
Transportation,LYFT RIDE #7735 AUSTIN TX PU8HLK
Utilities & Bills,ONLINE PAYMENT PG&E ONLINE PYMT SEATTLE WA
Health & Wellness,POS PURCHASE KAISER PERMANENTE COPAY SEATTLE WA LBC8NP
Shopping & Retail,WEB PMT NORDSTROM DENVER CO
Shopping & Retail,ETSY.COM #576 DENVER CO
Groceries,TRADER JOE S #5564 PORTLAND OR
Utilities & Bills,RECURRING PYMT CON EDISON MIAMI FL 6SHDLQ
Groceries,PIN PURCHASE PUBLIX PHOENIX AZ Q1MZKJ
Subscriptions & Entertainment,AMAZON PRIME #2967 COLUMBUS OH
Subscriptions & Entertainment,AUTOPAY AMAZON PRIME AUSTIN TX
Transportation,POS PURCHASE ZIPCAR #6702 SEATTLE WA 800-555-0148
Shopping & Retail,DEBIT CARD PURCHASE OLD NAVY #4880 COLUMBUS OH 20582128
Utilities & Bills,RECURRING PYMT STATE FARM INSURANCE DENVER CO 2LVVPZ
Shopping & Retail,MICHAELS STORES BOSTON MA 800-555-0161
Groceries,PUBLIX SEATTLE WA 0271159598
Shopping & Retail,DEBIT CARD PURCHASE HOME DEPOT #3387 PHOENIX AZ 800-555-0172
Dining & Coffee,POS PURCHASE STARBUCKS CHICAGO IL
Subscriptions & Entertainment,PLANET FITNESS #9080 PORTLAND OR
Shopping & Retail,DEBIT CARD PURCHASE HOME DEPOT #8740 PHOENIX AZ 30191497
Utilities & Bills,RECURRING PYMT GEICO AUTO INS #8914 SEATTLE WA 2524716056
Groceries,POS PURCHASE PUBLIX 7D5J61
Utilities & Bills,ACH DEBIT GEICO AUTO INS #6224 CHICAGO IL 7810998806
Utilities & Bills,AUTOPAY NATIONAL GRID ATLANTA GA 800-555-0130
Subscriptions & Entertainment,YOUTUBE PREMIUM #8971 COLUMBUS OH
Transportation,POS PURCHASE EXXONMOBIL PHOENIX AZ 92377376
Shopping & Retail,POS PURCHASE MICHAELS STORES #7876 DENVER CO
Transportation,POS PURCHASE ZIPCAR #6133 COLUMBUS OH
Dining & Coffee,CHIPOTLE ONLINE BOSTON MA
Transportation,RECURRING PYMT LYFT RIDE AUSTIN TX 800-555-0182
Dining & Coffee,SWEETGREEN #8289 AUSTIN TX
Shopping & Retail,POS PURCHASE NORDSTROM PORTLAND OR
Subscriptions & Entertainment,NETFLIX.COM #1623 PORTLAND OR
Groceries,DEBIT CARD PURCHASE WHOLEFDS MKT PORTLAND OR QZE9WJ
Groceries,PIN PURCHASE WEGMANS
Health & Wellness,CARD PAYMENT RITE AID PHARMACY DENVER CO 14290784
Dining & Coffee,SQ * DUNKIN #349021 MIAMI FL 80800160
Dining & Coffee,SQ *LOCAL COFFEE ROASTERS PORTLAND OR
Utilities & Bills,RECURRING PYMT COMCAST CABLE COLUMBUS OH 800-555-0112
Transportation,RECURRING PYMT ZIPCAR #4337 BOSTON MA 23159866
Utilities & Bills,ONLINE PAYMENT GEICO AUTO INS PHOENIX AZ
Groceries,SAFEWAY SEATTLE WA
Groceries,DEBIT CARD PURCHASE COSTCO WHSE MIAMI FL 800-555-0141
Transportation,POS PURCHASE UBER TRIP CHICAGO IL
Transportation,RECURRING PYMT CHEVRON #9007 MIAMI FL 97354953
Subscriptions & Entertainment,WEB PMT PLANET FITNESS CHICAGO IL
Shopping & Retail,POS PURCHASE BEST BUY ATLANTA GA
Shopping & Retail,ETSY.COM PORTLAND OR 800-555-0115
Dining & Coffee,MCDONALD S #6141 PHOENIX AZ
Shopping & Retail,POS PURCHASE NORDSTROM #1358 PORTLAND OR
Dining & Coffee,TST* DUNKIN #349021 CHICAGO IL
Transportation,RECURRING PYMT BP#8834
Dining & Coffee,TST* PANERA BREAD DENVER CO 800-555-0179
Dining & Coffee,POS PURCHASE UBEREATS #9124 AUSTIN TX ELUTF8
Shopping & Retail,POS PURCHASE WALMART SUPERCENTER #3710 PORTLAND OR 800-555-0151
Groceries,H MART ATLANTA GA
Subscriptions & Entertainment,RECURRING PYMT DISNEY PLUS BOSTON MA
Transportation,POS PURCHASE METRO TRANSIT AUTHORITY #140 PHOENIX AZ 74630524
Health & Wellness,CARD PAYMENT WALGREENS #6570 MIAMI FL
Shopping & Retail,WEB PMT IKEA COLUMBUS OH
Utilities & Bills,ACH DEBIT STATE FARM INSURANCE AUSTIN TX
Shopping & Retail,POS PURCHASE MICHAELS STORES BOSTON MA 17707622
Utilities & Bills,AUTOPAY VERIZON WIRELESS #8969 800-555-0181
Subscriptions & Entertainment,APPLE.COM/BILL #3309 AUSTIN TX 1828137066
Dining & Coffee,DOORDASH*
Shopping & Retail,DEBIT CARD PURCHASE BEST BUY COLUMBUS OH
Subscriptions & Entertainment,AUTOPAY NYTIMES SUBSCRIPTION DENVER CO
Transportation,ZIPCAR PORTLAND OR
Health & Wellness,CARD PAYMENT ASPEN DENTAL COLUMBUS OH
Transportation,RECURRING PYMT LYFT RIDE #1328 COLUMBUS OH
Shopping & Retail,DEBIT CARD PURCHASE TARGET COLUMBUS OH 800-555-0132
Utilities & Bills,AUTOPAY CON EDISON COLUMBUS OH 78581874
Shopping & Retail,AMAZON MKTPLACE #8801 MIAMI FL
Transportation,POS PURCHASE METRO TRANSIT AUTHORITY #4339 AUSTIN TX 5555437553
Subscriptions & Entertainment,WEB PMT AMAZON PRIME AUSTIN TX J8BHXP
Dining & Coffee,UBEREATS MIAMI FL 2329718478
Groceries,POS PURCHASE KROGER #9662 COLUMBUS OH 7G0JPY
Shopping & Retail,NORDSTROM BOSTON MA KB710V
Shopping & Retail,DEBIT CARD PURCHASE TARGET MIAMI FL
Utilities & Bills,AUTOPAY CON EDISON COLUMBUS OH
Shopping & Retail,DEBIT CARD PURCHASE NORDSTROM #2043 PORTLAND OR
Dining & Coffee,DOORDASH* #2309 800-555-0179
